HITID, time
3GONHBMNI5CY21208DW90D24YN0MZQ,2022-04-11 11:29:00.850566
30EV7DWJU59W8873PBN9XAWG2TI6YA,2022-04-11 12:11:22.730561
3LAZVA75OS5WWTK0WM2856H28EH2OE,2022-04-11 12:17:35.303672
3NSCTNUR391ZTM9M4MZO2I09374A5O,2022-04-11 12:19:12.161499
35F6NGNVNIXJVMMEYF52V74XI2K7TL,2022-04-11 12:21:56.965099
3G4VVJO6Q9U9Y90R0SLRU28MZJZPK4,2022-04-11 12:28:17.553277
344M16OZLST69OW4ORXWSIQMF72NEM,2022-04-11 12:35:00.786262
3IJ95K7NE7Q4T2SVUMNKSLBYSNPNGB,2022-04-11 21:34:10.924215
37NXA7GVT3KXNZF5746RFUAJA7DLVW,2022-04-11 21:34:42.830864
30QQTY5GNUYYVZ13YKVC03QZ1GZU77,2022-04-11 21:58:44.225725
